OfferedLoad,Node,QueueType,AvgDelay,BlockingRatio,AvgBacklog,N_audio,N_video,N_data
0.6,10,Premium,0.000309763,0,0.0196594,23,29,29
0.6,10,Assured,0.00116099,0,0.0228781,23,29,29
0.6,10,BestEffort,0.00145277,0,0.0700164,23,29,29
0.6,Reference,EndToEndDelay,0.00309936
0.6,Reference,BlockingRatio,0
0.7,1,Premium,0.000343482,0.000110239,0.0245882,27,33,33
0.7,1,Assured,0.00125792,4.49445e-05,0.0306254,27,33,33
0.7,1,BestEffort,0.00219707,8.15604e-05,0.129787,27,33,33
0.7,2,Premium,0.000341099,8.88307e-05,0.02415,27,33,33
0.7,2,Assured,0.00125812,5.98158e-05,0.0305856,27,33,33
0.7,2,BestEffort,0.002216,0.000117229,0.12957,27,33,33
0.7,3,Premium,0.00034291,9.9143e-05,0.0245429,27,33,33
0.7,3,Assured,0.00125569,1.49475e-05,0.0303272,27,33,33
0.7,3,BestEffort,0.00222211,4.65576e-05,0.13099,27,33,33
0.7,4,Premium,0.000340053,3.31002e-05,0.0242405,27,33,33
0.7,4,Assured,0.00125645,4.51216e-05,0.0302497,27,33,33
0.7,4,BestEffort,0.00219062,1.16587e-05,0.128492,27,33,33
0.7,5,Premium,0.000343728,1.1016e-05,0.024487,27,33,33
0.7,5,Assured,0.00125012,0,0.0297779,27,33,33
0.7,5,BestEffort,0.00217992,1.16878e-05,0.126957,27,33,33
0.7,6,Premium,0.000340251,1.10347e-05,0.0242437,27,33,33
0.7,6,Assured,0.00124701,1.51632e-05,0.0294048,27,33,33
0.7,6,BestEffort,0.00217335,0,0.127205,27,33,33
0.7,7,Premium,0.000341972,5.49602e-05,0.024372,27,33,33
0.7,7,Assured,0.00125611,0.000134884,0.0303187,27,33,33
0.7,7,BestEffort,0.00222568,8.14503e-05,0.13141,27,33,33
0.7,8,Premium,0.000341563,0.000175925,0.0243538,27,33,33
0.7,8,Assured,0.00125335,0.000179932,0.0301223,27,33,33
0.7,8,BestEffort,0.00221656,0.000199224,0.129551,27,33,33
0.7,9,Premium,0.000341375,9.87264e-05,0.0244229,27,33,33
0.7,9,Assured,0.00125014,1.50984e-05,0.0298187,27,33,33
0.7,9,BestEffort,0.00214015,2.33054e-05,0.1245,27,33,33
0.7,10,Premium,0.000342577,4.41448e-05,0.0244611,27,33,33
0.7,10,Assured,0.00125139,9.03928e-05,0.029946,27,33,33
0.7,10,BestEffort,0.00216605,6.98186e-05,0.127056,27,33,33
0.7,Reference,EndToEndDelay,0.00341161
0.7,Reference,BlockingRatio,0.00094162
0.8,1,Premium,0.000380257,0.00150401,0.0292567,30,38,38
0.8,1,Assured,0.00139389,0.00126658,0.0416883,30,38,38
0.8,1,BestEffort,0.00420885,0.00148802,0.294718,30,38,38
0.8,2,Premium,0.000379347,0.00235529,0.0288986,30,38,38
0.8,2,Assured,0.00139623,0.00193467,0.0416391,30,38,38
0.8,2,BestEffort,0.0043658,0.00188778,0.309072,30,38,38
0.8,3,Premium,0.000380123,0.00193012,0.0290507,30,38,38
0.8,3,Assured,0.00139918,0.00170221,0.0419436,30,38,38
0.8,3,BestEffort,0.00425189,0.00182683,0.296193,30,38,38
0.8,4,Premium,0.000381676,0.00155947,0.0293089,30,38,38
0.8,4,Assured,0.0014021,0.00166188,0.0424607,30,38,38
0.8,4,BestEffort,0.00428887,0.00178333,0.300494,30,38,38
0.8,5,Premium,0.000382055,0.00193345,0.0291622,30,38,38
0.8,5,Assured,0.0013924,0.00188021,0.0418169,30,38,38
0.8,5,BestEffort,0.00434964,0.00191993,0.306861,30,38,38
0.8,6,Premium,0.000380317,0.00187005,0.0290524,30,38,38
0.8,6,Assured,0.00139103,0.00177513,0.0413841,30,38,38
0.8,6,BestEffort,0.00433334,0.00188274,0.306654,30,38,38
0.8,7,Premium,0.000379922,0.00221522,0.0292625,30,38,38
0.8,7,Assured,0.00139738,0.00219715,0.0421866,30,38,38
0.8,7,BestEffort,0.0044257,0.00204538,0.312321,30,38,38
0.8,8,Premium,0.00038054,0.00189289,0.0292616,30,38,38
0.8,8,Assured,0.00139987,0.00204902,0.0420397,30,38,38
0.8,8,BestEffort,0.00430678,0.00193543,0.302491,30,38,38
0.8,9,Premium,0.000380936,0.00191035,0.0291057,30,38,38
0.8,9,Assured,0.00140369,0.0019454,0.0420375,30,38,38
0.8,9,BestEffort,0.00428494,0.00181848,0.299894,30,38,38
0.8,10,Premium,0.000379009,0.00192701,0.02871,30,38,38
0.8,10,Assured,0.00139757,0.00197383,0.0416964,30,38,38
0.8,10,BestEffort,0.00429421,0.0017927,0.302413,30,38,38
0.8,Reference,EndToEndDelay,0.00379889
0.8,Reference,BlockingRatio,0.0198142
0.9,1,Premium,0.00041449,0.0236093,0.0340439,34,43,43
0.9,1,Assured,0.00153142,0.0243789,0.0537623,34,43,43
0.9,1,BestEffort,0.00957612,0.0242697,0.750202,34,43,43
0.9,2,Premium,0.000413336,0.0225169,0.0338113,34,43,43
0.9,2,Assured,0.00153007,0.0229087,0.053045,34,43,43
0.9,2,BestEffort,0.0094128,0.0231159,0.737266,34,43,43
0.9,3,Premium,0.00041421,0.0246624,0.0338365,34,43,43
0.9,3,Assured,0.00152175,0.0241003,0.0522514,34,43,43
0.9,3,BestEffort,0.00953542,0.0239026,0.748637,34,43,43
0.9,4,Premium,0.000413548,0.0225568,0.0336777,34,43,43
0.9,4,Assured,0.00153014,0.0224426,0.0531196,34,43,43
0.9,4,BestEffort,0.00937486,0.0227385,0.732886,34,43,43
0.9,5,Premium,0.000412376,0.0239331,0.033852,34,43,43
0.9,5,Assured,0.0015296,0.023796,0.0530138,34,43,43
0.9,5,BestEffort,0.00941326,0.0231213,0.732034,34,43,43
0.9,6,Premium,0.000413102,0.0217913,0.0335793,34,43,43
0.9,6,Assured,0.00152675,0.0225482,0.052866,34,43,43
0.9,6,BestEffort,0.00924752,0.0220965,0.723124,34,43,43
0.9,7,Premium,0.000412501,0.0210125,0.0336132,34,43,43
0.9,7,Assured,0.00152797,0.0207752,0.0526713,34,43,43
0.9,7,BestEffort,0.00902744,0.0214308,0.703567,34,43,43
0.9,8,Premium,0.000412659,0.0229674,0.0335672,34,43,43
0.9,8,Assured,0.00153296,0.0239384,0.0535002,34,43,43
0.9,8,BestEffort,0.0093113,0.0224843,0.729276,34,43,43
0.9,9,Premium,0.000414251,0.0245921,0.0335664,34,43,43
0.9,9,Assured,0.00153439,0.0247901,0.0536416,34,43,43
0.9,9,BestEffort,0.00952984,0.0244289,0.746932,34,43,43
0.9,10,Premium,0.000414515,0.0233248,0.0341663,34,43,43
0.9,10,Assured,0.00153835,0.0239279,0.053993,34,43,43
0.9,10,BestEffort,0.00942212,0.0232982,0.736448,34,43,43
0.9,Reference,EndToEndDelay,0.00410783
0.9,Reference,BlockingRatio,0.209514
